Step,Upstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,Metering Rate,Green Time,Yellow Time,Red Time
1220,4,17.764598528390252,25.55473384107927,16,957.185811203226,11,3,6
1240,2,5.360196918607585,15.111537445458604,18,1299.3781900211238,15,3,2
1260,4,18.803911426138598,18.75352343039746,15,1386.6315498933016,15,3,2
1280,4,13.056926457477402,12.693860826800574,14,1700,15,3,2
1300,5,22.191429955969966,45.4544994427503,13,10,5,3,12
1320,3,43.27281589156371,38.2314223840846,15,10,5,3,12
1340,4,20.154380199221578,19.711599111462874,18,30.18806219759881,5,3,12
1360,4,9.146576862889333,20.9178036042393,20,10,5,3,12
1380,3,26.691488449984035,9.861602516821222,21,719.6878238225145,8,3,9
1400,4,13.151571434747211,17.170647182058474,21,917.7425210784213,10,3,7
1420,5,14.01129711506428,32.73176751219277,21,26.518795224927544,5,3,12
1440,2,18.61875315568966,27.366540429390323,21,10,5,3,12
1460,3,15.251963659684975,23.508316172952465,23,10,5,3,12
1480,3,10.06786237182098,21.821784081987516,23,10,5,3,12
1500,3,17.120669601573013,18.91923937566465,23,85.65324370347457,5,3,12
1520,5,23.79743555329412,8.676230296593227,23,878.3171229419487,10,3,7
1540,3,16.323183788890105,25.67208009282164,21,481.2715164444338,5,3,12
1560,5,24.480278010602774,9.204046808660374,20,1236.9882398382076,14,3,3
1580,2,39.55070976522279,10.658688472024854,18,1700,15,3,2
1600,4,9.36973879988443,26.983305373039457,16,1211.168623887238,14,3,3
1620,4,26.97852943968826,30.318852563849912,16,488.8489444177442,5,3,12
1640,5,6.9555004995351055,14.271460097169589,18,889.8467376158729,10,3,7
1660,3,13.764096735187081,14.026304267470854,19,1308.0054388929132,15,3,2
1680,4,28.539130575910576,19.50105165261296,16,1342.9318232100059,15,3,2
1700,0,7.587878877740195,32.808157503450275,14,446.3607979684866,5,3,12
1720,3,41.036458363669226,11.490026994692926,16,1042.0589083399818,12,3,5
1740,2,18.34342248028804,0.0,18,1700,15,3,2
1760,3,33.14635229950227,5.058484857325614,17,1700,15,3,2
1780,4,12.247719395293188,15.026839769499626,15,1700,15,3,2
1800,5,26.275677374036377,8.06246378343379,14,1700,15,3,2
