Step,Upstream Flow,Merging Area Flow,Downstream Flow,Upstream Occupancy,Merging Area Occupancy,Downstream Occupancy,Queue Length,TTTD,Sum Delay Sq,Total Waiting Time,Total Delay,Total Volume
111,1260.0,2520.0,1440.0,8.512229171671018,25.896816321173688,6.99366946203052,3,,,,,
112,1260.0,2520.0,1440.0,0.0,0.0,0.0,3,,,,,
113,1440.0,2700.0,1620.0,10.832656213675543,8.313778166397867,14.727672410815273,3,,,,,
114,1620.0,2880.0,1800.0,5.548965411967781,9.507172379424134,10.049862328195994,3,,,,,
115,1620.0,3060.0,2160.0,0.0,0.4111006378767712,10.93463900699779,2,,,,,
116,1980.0,3060.0,2160.0,18.55340726636001,0.0,0.0,2,,,,,
117,1980.0,3420.0,2340.0,0.0,15.527734776408053,10.072207775012032,3,,,,,
118,1980.0,3420.0,2340.0,3.8617784154849253,0.0,0.0,3,,,,,
119,180.0,0.0,180.0,3.765210980183061,0.0,12.475370245748252,3,,,,,
120,180.0,360.0,540.0,0.0,14.691704353454682,22.311531414809355,2,,,,,
121,180.0,360.0,720.0,0.0,0.0,12.8247511155872,2,,,,,
122,360.0,540.0,1080.0,5.429975543820357,6.86046561099829,3.099158201063782,2,,,,,
123,360.0,540.0,1260.0,0.0,0.0,11.306895072468611,3,,,,,
124,540.0,720.0,1260.0,8.736790352244364,6.517980824433067,0.0,3,,,,,
125,540.0,900.0,1620.0,0.0,10.628644039042001,26.762135998285903,2,,,,,
126,720.0,900.0,1620.0,10.265165424303765,0.0,0.0,2,,,,,
127,720.0,1080.0,1800.0,0.0,7.383860446606505,10.784110215086192,2,,,,,
128,720.0,1260.0,1980.0,0.0,17.303917262996293,3.323896182934997,2,,,,,
129,720.0,1440.0,1980.0,0.0,6.350542192461006,0.0,2,,,,,
130,720.0,1440.0,2160.0,0.822163749977752,0.0,0.9687741655341142,2,,,,,
131,900.0,1620.0,2340.0,5.4690730718282525,8.469229811420576,15.530859932132065,3,,,,,
132,1080.0,1620.0,2520.0,5.906944482191061,0.0,20.357651001922743,3,,,,,
133,1080.0,1980.0,2880.0,0.0,16.6145036578925,25.8338789018552,3,,,,,
134,1260.0,1980.0,3240.0,6.180515558981862,0.0,12.426969853719546,3,,,,,
135,1260.0,2160.0,3240.0,0.0,6.789595133294313,0.0,2,,,,,
136,1260.0,2160.0,3240.0,0.0,0.0,0.0,2,,,,,
137,1260.0,2160.0,3420.0,9.903213153615317,0.0,9.289554254818691,3,,,,,
138,1800.0,2160.0,3420.0,12.900164998965616,0.0,0.0,3,,,,,
139,0.0,360.0,360.0,6.530977445997621,12.367886998897859,15.93703455694803,3,,,,,
140,360.0,360.0,360.0,15.826156548154321,0.0,0.0,2,,,,,
141,360.0,540.0,540.0,6.463456113078318,8.519421851213593,9.710270993689582,2,,,,,
142,540.0,540.0,540.0,7.917336835089846,0.0,0.0,2,,,,,
143,720.0,540.0,900.0,5.936932464263123,0.0,21.025641903473986,2,,,,,
144,720.0,720.0,900.0,0.0,6.856484875581259,0.0,2,,,,,
145,900.0,720.0,1080.0,6.530555307977674,0.0,9.33844044815165,3,,,,,
146,1260.0,720.0,1080.0,21.121973329873356,0.0,0.0,2,,,,,
147,1260.0,900.0,1080.0,5.334637270049332,1.4781643221056129,0.0,2,,,,,
148,1440.0,1080.0,1080.0,13.91482234878841,7.957589554236932,0.0,2,,,,,
149,1620.0,1260.0,1260.0,14.849684041152026,3.5581101263453263,5.9744678225721755,2,,,,,
150,1800.0,1260.0,1440.0,12.100626423432933,0.0,10.460274917175147,2,,,,,
151,1980.0,1440.0,1440.0,8.24252459803508,3.1263633129839263,0.0,2,,,,,
152,1980.0,1620.0,1800.0,3.0196609268728025,7.148938133958183,20.139999966482947,3,,,,,
153,2160.0,1620.0,1800.0,14.553449276104402,0.0,0.0,3,,,,,
154,2340.0,1980.0,1980.0,9.005101111843791,17.867581317241843,9.879482311545948,3,,,,,
155,2340.0,2340.0,1980.0,8.081455242868193,12.376462564011348,0.0,2,,,,,
156,2520.0,2340.0,1980.0,9.75182344136556,0.0,0.0,2,,,,,
157,2520.0,2340.0,1980.0,0.5623989037161436,0.0,0.0,2,,,,,
158,2700.0,2880.0,2340.0,8.695551145873518,40.763249887695,6.482700095426708,2,,,,,
159,360.0,180.0,0.0,11.22038037690866,14.5662481199345,0.0,2,,,,,
160,360.0,360.0,180.0,10.661545281186116,14.140875500107342,10.756313319690017,3,,,,,
161,720.0,540.0,360.0,14.55566799241931,14.140522184749926,7.162696886853344,3,,,,,
