Step,Upstream Flow,Merging Area Flow,Downstream Flow,Upstream Occupancy,Merging Area Occupancy,Downstream Occupancy,Queue Length,TTTD,Sum Delay Sq,Total Waiting Time,Total Delay,Total Volume,Metering Rate,Green Time,Red Time
206,1080.0,1800.0,1260.0,1.2172262543595973,7.954114761291464,2.0751481645191916,1,,,,,,1700,15,2
207,1260.0,1800.0,1260.0,5.009769713388342,0.0,0.0,1,,,,,,1700,15,2
208,1260.0,2160.0,1440.0,11.148552553877758,15.91305048532945,5.299838607425045,1,,,,,,1700,15,2
209,1620.0,2160.0,1440.0,11.807418335185579,0.0,0.0,2,,,,,,1700,15,2
210,1800.0,2340.0,1800.0,6.307186329943685,7.806410548924703,9.733268259010211,2,,,,,,1700,15,2
211,1800.0,2520.0,1800.0,0.0,8.232042949719443,0.0,2,,,,,,1700,15,2
212,1800.0,3060.0,1800.0,0.0,22.210960386161815,0.0,2,,,,,,1700,15,2
213,1980.0,3060.0,1980.0,11.7351072871377,0.0,12.446851155027616,2,,,,,,1700,15,2
214,2160.0,3240.0,2340.0,3.707821298264946,3.3617825940119417,17.935653840289472,2,,,,,,1700,15,2
215,2160.0,3240.0,2520.0,6.8170321823799895,0.0,10.755171860553029,2,,,,,,1700,15,2
216,2520.0,3420.0,2700.0,20.655170314596678,3.793346683016807,10.624598249701004,3,,,,,,1700,15,2
217,2700.0,3600.0,2880.0,13.737587329542578,7.086388570671431,10.624598249701004,3,,,,,,1700,15,2
218,2880.0,3600.0,3060.0,4.599444948777413,0.0,9.81786252249511,3,,,,,,1700,15,2
219,180.0,180.0,0.0,6.403902044272532,5.360928617241001,0.0,3,,,,,,1700,15,2
220,180.0,180.0,540.0,0.0,0.0,32.5257227974627,3,,,,,,1700,15,2
221,360.0,360.0,540.0,8.343099002694032,8.92760443998597,0.0,2,,,,,,1700,15,2
222,360.0,540.0,540.0,0.0,0.37853605150459657,0.0,2,,,,,,1700,15,2
223,540.0,900.0,900.0,9.590116067652351,26.661608941446957,25.887469054796952,2,,,,,,1700,15,2
224,540.0,1080.0,900.0,4.57459262259808,2.5075211489131277,0.0,3,,,,,,1700,15,2
225,900.0,1080.0,1080.0,16.287174744108768,0.0,10.334415991637988,2,,,,,,1700,15,2
226,900.0,1260.0,1080.0,5.447088606748214,6.711424114123332,0.0,2,,,,,,1700,15,2
227,1260.0,1260.0,1260.0,18.765602209503147,0.0,10.673015591570826,2,,,,,,1700,15,2
228,1440.0,1440.0,1260.0,6.419568408582184,6.5543593501857345,0.0,2,,,,,,1700,15,2
229,1800.0,1620.0,1440.0,20.11900988439379,6.845848232408969,9.798268351969833,2,,,,,,1700,15,2
230,1800.0,1800.0,1440.0,1.1521245332626033,7.435768892798222,0.0,2,,,,,,1700,15,2
231,2160.0,1980.0,1440.0,15.280140122899866,7.245980300638877,0.0,3,,,,,,1700,15,2
232,2160.0,2160.0,1620.0,2.116820988326159,6.673768483165077,2.060237847121016,3,,,,,,1700,15,2
233,2520.0,2340.0,1620.0,11.807819082259622,6.999240582869248,0.0,3,,,,,,1700,15,2
234,2520.0,2700.0,1800.0,0.0,14.680704139714607,8.194085071356957,3,,,,,,1700,15,2
235,2700.0,2700.0,1800.0,10.12859148381485,0.0,0.0,3,,,,,,1700,15,2
236,2700.0,2880.0,2160.0,0.0,7.9111099205540825,25.687625358804667,3,,,,,,1700,15,2
237,2700.0,3240.0,2160.0,10.297983821970528,16.65481103172226,0.0,3,,,,,,1700,15,2
238,2880.0,3420.0,2520.0,16.96492530679592,30.474112256480623,19.20807111177017,4,,,,,,1700,15,2
239,360.0,180.0,180.0,14.261197937457837,10.13365005912874,16.442495217447117,4,,,,,,1700,15,2
240,360.0,540.0,360.0,6.033251877679409,9.093774609896599,7.985603972916048,4,,,,,,1700,15,2
241,540.0,720.0,540.0,14.09025697740276,11.638034727891977,6.559279179213225,4,,,,,,1700,15,2
242,900.0,720.0,900.0,14.371772657925419,0.0,13.825161050326074,4,,,,,,1700,15,2
