Step,Upstream Flow,Downstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,TTS,Metering Rate,Green Time,Red Time
600,540.0,180.0,1.62811957882667,8.3515247901668,7,0.0,1700,15,2
620,900.0,0.0,14.343626050722946,0.0,8,0.0,1700,15,2
640,720.0,180.0,22.940148281121253,23.28903727957936,8,0.0,1700,15,2
660,720.0,180.0,5.149655494720662,11.537751640850047,8,0.0,1700,15,2
680,720.0,540.0,17.624881204272924,22.650540499688532,6,0.0,1700,15,2
700,540.0,180.0,2.2368018782174204,6.446621357978681,7,0.0,1700,15,2
720,540.0,540.0,37.85622979793288,25.18470252899192,7,0.0,1700,15,2
740,540.0,180.0,11.22107595049755,8.717266762403142,7,0.0,1700,15,2
760,540.0,540.0,18.12872587520502,23.280894724810725,6,0.0,1700,15,2
780,720.0,540.0,28.871881411984646,23.686223002531886,6,0.0,1700,15,2
800,360.0,360.0,15.513739547714067,15.066515518994569,8,0.0,1700,15,2
820,720.0,180.0,16.620019522154905,9.965388488529925,6,0.0,1700,15,2
840,720.0,180.0,19.08789735148133,6.874882733342247,6,0.0,1700,15,2
860,900.0,360.0,7.515436268566589,10.135607727310495,5,0.0,1700,15,2
880,540.0,180.0,33.520631231237985,9.539977663013133,4,0.0,1700,15,2
900,540.0,360.0,24.57810454108653,16.72804534800889,3,0.0,1700,15,2
920,540.0,360.0,17.52909138294143,8.53728120501387,5,0.0,1700,15,2
940,720.0,360.0,0.0,25.11280293919261,10,0.0,1700,15,2
960,360.0,360.0,17.427060137006833,10.208917882317792,10,0.0,1700,15,2
980,720.0,360.0,16.900543500587162,20.830537611296524,12,0.0,1700,15,2
1000,360.0,360.0,4.915204184268873,10.042355880415244,15,0.0,1700,15,2
1020,720.0,540.0,5.088963840323402,29.520139131521244,14,0.0,1700,15,2
1040,360.0,180.0,22.7076641683027,5.722763907302427,13,0.0,1700,15,2
1060,900.0,180.0,0.0,6.737423921879326,14,0.0,1700,15,2
1080,720.0,540.0,43.95933741007809,30.762705188021755,15,0.0,1700,15,2
1100,540.0,360.0,3.9290300827985902,25.758472445530362,14,0.0,1700,15,2
1120,720.0,540.0,14.114120338379621,30.54713803347795,14,0.0,1700,15,2
1140,540.0,360.0,16.38147382738282,21.664097932712895,15,0.0,1700,15,2
1160,720.0,360.0,37.5377090079553,23.823014366204614,15,0.0,1700,15,2
1180,540.0,360.0,24.440759976980075,10.176940787475056,13,0.0,1700,15,2
1200,720.0,540.0,10.190029502780362,27.813460338434954,13,0.0,1700,15,2
1220,900.0,360.0,8.843115799442103,11.53437619094196,13,0.0,1700,15,2
1240,720.0,540.0,21.733410385826346,30.77764165413252,12,0.0,1700,15,2
1260,540.0,540.0,31.560209497746428,26.637536406042273,14,0.0,1700,15,2
1280,720.0,180.0,11.469285189332368,23.03106304264399,15,0.0,1700,15,2
1300,720.0,180.0,13.176499938023767,10.084814984323506,15,0.0,1700,15,2
1320,720.0,180.0,13.813987877585987,8.120969878848427,13,0.0,1700,15,2
1340,540.0,180.0,13.491185316135557,4.594036039376685,13,0.0,1700,15,2
1360,720.0,180.0,22.85033083763892,11.255557206038702,14,0.0,1700,15,2
1380,540.0,360.0,35.21828109125522,21.733897133814633,13,0.0,1700,15,2
1400,360.0,540.0,32.38595913865936,11.99352129944297,14,0.0,1700,15,2
1420,540.0,0.0,21.792410357332415,0.0,13,0.0,1700,15,2
1440,360.0,0.0,8.0431580333709,0.0,14,0.0,1700,15,2
1460,720.0,360.0,22.670508709495607,25.430661610084826,13,0.0,1700,15,2
1480,720.0,540.0,17.83636093718144,49.29802608454187,13,0.0,1021.1069364378864,12,5
1500,540.0,180.0,36.004458599421696,13.145463135939886,16,0.0,1700,15,2
1520,360.0,540.0,14.068706433127431,43.94027224850182,14,0.0,1327.8067634229228,15,2
1540,900.0,360.0,14.239246165465147,17.180764987100854,17,0.0,1700,15,2
1560,360.0,360.0,10.188579065217596,18.89864357321282,17,0.0,1700,15,2
