Step,Upstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,Metering Rate,Green Time,Yellow Time,Red Time
2480,3,0.27126621866386813,14.361648847504208,11,1700,15,3,2
2500,4,1.6165263262564622,13.770566771525713,10,1700,15,3,2
2520,4,5.052931356163981,13.66707520539876,11,1700,15,3,2
2540,0,22.86807857610711,6.548173202334813,9,1429.2344996725024,15,3,2
2560,1,4.192218738404563,27.719044113428026,11,1700,15,3,2
2580,4,10.523700875558006,13.09031803431632,11,1700,15,3,2
2600,3,10.95765029996869,23.031882358122857,9,1700,15,3,2
2620,2,0.0,0.0,9,1700,15,3,2
2640,4,16.2487735160596,2.3723023631646356,9,1700,15,3,2
2660,2,26.23934677232569,14.97415334336741,11,1193.2457259372018,14,3,3
2680,6,0.0,34.7663593125238,9,1700,15,3,2
2700,1,0.0,24.701149496991093,10,1700,15,3,2
2720,4,19.395315761482834,4.87795677916741,9,1672.3278966962016,15,3,2
2740,4,4.542957281415738,12.942466031381628,10,1700,15,3,2
2760,3,13.902280074336204,28.616175818175787,11,1700,15,3,2
2780,0,0.0,4.078294151471103,10,1700,15,3,2
2800,2,18.392976036329856,0.0,9,1700,15,3,2
2820,4,4.1341937778156534,10.684355396172881,11,1700,15,3,2
2840,4,22.16175413715291,5.089494349401018,10,1478.6772103992962,15,3,2
2860,0,11.776763414479774,6.225864421245812,8,1700,15,3,2
2880,4,17.95686649756476,0.0,10,1700,15,3,2
2900,2,21.662435748737607,20.31325499263706,9,1513.6294975883675,15,3,2
2920,1,17.320359599881385,16.898638086324052,10,1631.2043255966705,15,3,2
2940,3,0.0,11.906511374506104,10,1700,15,3,2
2960,5,11.372990738152566,5.426127641392971,10,1700,15,3,2
2980,2,18.023353392788977,11.885735637853637,8,1700,15,3,2
3000,3,0.0,5.501594036528938,12,1700,15,3,2
3020,3,15.830707644727227,13.02921081896026,12,1700,15,3,2
3040,2,4.55164347297341,5.292291697355722,11,1700,15,3,2
3060,2,5.967395923028107,12.324842998009444,11,1700,15,3,2
3080,2,25.545282360496913,11.175050875370593,12,1241.8302347652161,14,3,3
3100,2,4.579642580574728,23.37549872031559,8,1700,15,3,2
3120,4,8.260952797655818,13.321141952284657,10,1700,15,3,2
3140,3,6.276286009011756,9.707522987423545,11,1700,15,3,2
3160,0,11.902253034935484,3.799876412745107,11,1700,15,3,2
3180,4,0.0,25.690807015568378,10,1700,15,3,2
3200,5,19.875361136826086,10.190043838717125,9,1638.724720422174,15,3,2
3220,0,6.171727466357879,8.601375278029385,10,1700,15,3,2
3240,3,11.450905466921313,4.458588405699023,10,1700,15,3,2
3260,3,5.194702061646694,6.31509863572622,11,1700,15,3,2
3280,0,28.329781632942286,5.012768683726184,9,1046.91528569404,12,3,5
3300,4,11.060675684461785,10.205245521729012,9,1602.667987781715,15,3,2
3320,0,0.0,21.214007237055437,11,1700,15,3,2
3340,2,15.837553565643248,4.132261437719838,12,1700,15,3,2
3360,5,5.936386905767677,5.43581707387754,11,1700,15,3,2
3380,2,8.477405471575139,4.947745291474348,9,1700,15,3,2
3400,3,0.0,4.71591107959739,12,1700,15,3,2
3420,6,7.688442122162087,4.1112633267403,11,1700,15,3,2
3440,3,16.852185359516625,6.973264963600438,12,1700,15,3,2
3460,5,32.652973728778534,6.285366800246568,11,744.2918389855026,8,3,9
3480,4,0.0,13.211248184817729,11,1700,15,3,2
3500,2,18.733746171727717,34.130983412190595,12,1700,15,3,2
3520,2,23.316493745221578,4.757404747306282,11,1397.8454378344895,15,3,2
3540,6,0.0,19.086292652582415,11,1700,15,3,2
3560,0,4.862918805179106,0.0,10,1700,15,3,2
3580,3,0.0,4.642387756386294,11,1700,15,3,2
3600,2,8.319305804093347,5.04326077132949,11,1700,15,3,2
3620,4,3.7925556772847813,24.320437666597172,11,1700,15,3,2
3640,1,7.632269793737123,5.86471387474982,12,1700,15,3,2
3660,4,14.532314092912202,7.0762556651895165,9,1700,15,3,2
3680,0,6.097415210189183,17.755499769805283,12,1700,15,3,2
3700,2,9.604179294314008,3.57204746478601,11,1700,15,3,2
3720,4,4.072489255781875,23.813391356831442,11,1700,15,3,2
3740,4,5.495697801825372,1.8333922712599815,9,1700,15,3,2
3760,1,4.398753540567668,10.133618090556714,9,1700,15,3,2
3780,4,11.502373555492795,5.855146861692144,11,1700,15,3,2
